#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2016 03 17 09 50  80  3.0  3.0   1.7     9   8.2 110 1009.4   4.5   4.5   4.5   MM -2.4    MM
2016 03 17 08 50  80  3.0  4.0   1.8    14   8.3 110 1009.4   4.6   4.5   4.6   MM -1.3    MM
2016 03 17 07 50  80  1.0  1.0   1.8    10   8.2 110 1010.7   5.0   4.6   5.0   MM -0.3    MM
2016 03 17 06 50 300  2.0  4.0   1.9    11   8.8 103 1011.8   5.1   4.6   5.1   MM +0.6    MM
2016 03 17 05 50 100  4.0  5.0   2.0    10   8.6 127 1010.7   5.3   4.6   5.3   MM -1.5    MM
2016 03 17 04 50  MM  0.0  1.0   2.3    11   8.8 130 1011.0   5.1   4.6   5.1   MM -1.7    MM
2016 03 17 03 50 120  2.0  3.0   2.3    10   8.8 127 1011.2   5.8   4.7   5.8   MM +0.0    MM
2016 03 17 02 50 300  1.0  2.0   2.2    10   8.6 123 1012.2   5.2   4.7   5.2   MM +2.1    MM
2016 03 17 01 50 260  2.0  3.0   2.3    10   8.7 114 1012.7   5.2   4.6   5.1   MM +3.0    MM
2016 03 17 00 50 160  2.0  3.0   2.0    11   8.0 133 1011.4   5.6   4.6   5.4   MM +1.5    MM
2016 03 16 23 50 100  3.0  4.0   2.1    12   8.2 118 1010.1   6.1   4.6   5.3   MM +0.6    MM
2016 03 16 22 50  70  3.0  4.0   2.0    11   7.8 120 1009.7   6.5   4.6   5.1   MM +0.4    MM
2016 03 16 21 50 360  4.0  4.0   2.0    11   7.4 111 1009.9   6.9   4.6   5.3   MM -0.0    MM
2016 03 16 20 50 360  4.0  5.0   2.1    12   7.7 107 1009.5   7.1   4.6   5.2   MM -0.5    MM
2016 03 16 19 50  30  4.0  5.0   2.1    11   7.9 112 1009.3   6.6   4.7   5.0   MM -1.1    MM
2016 03 16 18 50 340  5.0  6.0   2.3    11   8.3 107 1009.9   6.8   4.7   5.2   MM -0.5    MM
2016 03 16 17 50 350  6.0  7.0   2.3    11   8.2 117 1010.0   7.2   4.6   5.3   MM +0.0    MM
2016 03 16 16 50  10  4.0  5.0   2.5    10   8.0 111 1010.4   6.2   4.6   4.9   MM +0.4    MM
2016 03 16 15 50 360  5.0  6.0   2.8    11   8.3  92 1010.4   6.1   4.4   4.7   MM +0.6    MM
2016 03 16 14 50 360  8.0 10.0   2.3    11   7.2  95 1010.0   5.6   4.4   4.2   MM +0.4    MM
2016 03 16 13 50 360  9.0 11.0   2.5    10   7.0 106 1010.0   5.0   4.4   3.9   MM +1.3    MM
2016 03 16 12 50 350 10.0 12.0   2.6     9   7.1 104 1009.8   4.4   4.4   4.0   MM +1.3    MM
2016 03 16 11 50 350  8.0 10.0   2.2    10   6.6 123 1009.6   4.4   4.3   3.7   MM +1.4    MM
2016 03 16 10 50 350 10.0 11.0   2.1    10   6.3 117 1008.7   4.2   4.3   3.7   MM +0.7    MM
2016 03 16 09 50 340  9.0 11.0   2.4     9   6.6 117 1008.5   4.0   4.3   3.8   MM +0.6    MM
2016 03 16 08 50 340  9.0 10.0   2.3     8   6.4  94 1008.2   4.1   4.3   4.0   MM -0.7    MM
2016 03 16 07 50 340  9.0 11.0   2.2     9   6.3 108 1008.0   4.3   4.3   4.3   MM -1.0    MM
2016 03 16 06 50 360  9.0 10.0   2.7     9   6.9 109 1007.9   4.3   4.3   4.3   MM -1.5    MM
2016 03 16 05 50 340  8.0 10.0   2.8     9   7.1 103 1008.9   4.3   4.3   4.3   MM -1.0    MM
2016 03 16 04 50 350  8.0 10.0   3.3     9   7.4  95 1009.0   4.5   4.3   4.5   MM -1.5    MM
2016 03 16 03 50 360  8.0  9.0   2.7     9   6.9 102 1009.4   4.5   4.3   4.5   MM -1.3    MM
2016 03 16 02 50 360  8.0 10.0   3.3     9   7.2  93 1009.9   4.5   4.3   4.5   MM -0.8    MM
2016 03 16 01 50  10  8.0  9.0   2.6     8   6.6 105 1010.5   4.6   4.3   4.6   MM -0.3    MM
2016 03 16 00 50  20  9.0 11.0   3.2     9   6.9 101 1010.7   4.8   4.4   4.7   MM -0.4    MM
2016 03 15 23 50  20  9.0 11.0   3.0     8   6.6  99 1010.7   4.5   4.4   4.4   MM +0.0    MM
2016 03 15 22 50  30  9.0 11.0   2.9     8   6.3 105 1010.8   4.5   4.4   4.4   MM -0.8    MM
2016 03 15 21 50  30  8.0  9.0   2.5     8   6.0  92 1011.1   4.6   4.4   4.5   MM -1.4    MM
2016 03 15 20 50  40  9.0 11.0   2.7     8   6.1 110 1010.9   4.6   4.4   4.5   MM -2.7    MM
2016 03 15 19 50  50  9.0 11.0   2.6     9   5.9 130 1011.6   4.7   4.4   4.5   MM -3.3    MM
2016 03 15 18 50  70 10.0 12.0   2.5     8   6.1 106 1012.5   4.8   4.4   4.5   MM -3.3    MM
2016 03 15 17 50  60 10.0 12.0   2.5     8   6.0 111 1013.6   4.7   4.4   4.4   MM -3.1    MM
2016 03 15 16 50  70  9.0 11.0   2.3     8   5.9 110 1014.9   4.6   4.4   4.3   MM -2.2    MM
2016 03 15 15 50  70  9.0 11.0   2.4     8   6.2 103 1015.8   4.7   4.4   4.3   MM -1.5    MM
2016 03 15 14 50  70  8.0 10.0   2.5     8   6.1 113 1016.7   4.7   4.4   4.3   MM -1.1    MM
2016 03 15 13 50  80  8.0 10.0   2.3     8   6.0 120 1017.1   4.6   4.4   4.1   MM -0.3    MM
